Area_Name,Year,Victims_Total
Andaman & Nicobar Islands,2001,6
Andhra Pradesh,2001,607
Arunachal Pradesh,2001,16
Assam,2001,128
Bihar,2001,366
Chandigarh,2001,5
Chhattisgarh,2001,549
Delhi,2001,152
Goa,2001,13
Gujarat,2001,363
Haryana,2001,143
Himachal Pradesh,2001,39
Jammu & Kashmir,2001,187
Jharkhand,2001,291
Karnataka,2001,577
Kerala,2001,156
Lakshadweep,2001,2
Madhya Pradesh,2001,622
Maharashtra,2001,1068
Manipur,2001,8
Meghalaya,2001,6
Mizoram,2001,12
Nagaland,2001,2
Odisha,2001,260
Puducherry,2001,10
Punjab,2001,203
Rajasthan,2001,248
Sikkim,2001,6
Tamil Nadu,2001,525
Tripura,2001,9
Uttar Pradesh,2001,1323
Uttarakhand,2001,110
West Bengal,2001,358
Andaman & Nicobar Islands,2002,7
Andhra Pradesh,2002,662
Arunachal Pradesh,2002,4
Assam,2002,111
Bihar,2002,397
Chandigarh,2002,9
Chhattisgarh,2002,228
Dadra & Nagar Haveli,2002,1
Daman & Diu,2002,2
Delhi,2002,130
Goa,2002,7
Gujarat,2002,594
Haryana,2002,156
Himachal Pradesh,2002,34
Jammu & Kashmir,2002,163
Jharkhand,2002,306
Karnataka,2002,595
Kerala,2002,155
Madhya Pradesh,2002,537
Maharashtra,2002,966
Manipur,2002,14
Meghalaya,2002,25
Mizoram,2002,9
Nagaland,2002,3
Odisha,2002,346
Puducherry,2002,11
Punjab,2002,141
Rajasthan,2002,261
Tamil Nadu,2002,518
Tripura,2002,12
Uttar Pradesh,2002,1453
Uttarakhand,2002,67
West Bengal,2002,272
Andaman & Nicobar Islands,2003,9
Andhra Pradesh,2003,737
Arunachal Pradesh,2003,0
Assam,2003,103
Bihar,2003,393
Chandigarh,2003,6
Chhattisgarh,2003,216
Dadra & Nagar Haveli,2003,3
Daman & Diu,2003,0
Delhi,2003,131
Goa,2003,14
Gujarat,2003,356
Haryana,2003,151
Himachal Pradesh,2003,34
Jammu & Kashmir,2003,102
Jharkhand,2003,396
Karnataka,2003,525
Kerala,2003,126
Madhya Pradesh,2003,454
Maharashtra,2003,996
Manipur,2003,11
Meghalaya,2003,10
Mizoram,2003,9
Nagaland,2003,6
Odisha,2003,333
Puducherry,2003,8
Punjab,2003,175
Rajasthan,2003,271
Sikkim,2003,6
Tamil Nadu,2003,543
Tripura,2003,23
Uttar Pradesh,2003,999
Uttarakhand,2003,62
West Bengal,2003,297
Andaman & Nicobar Islands,2004,5
Andhra Pradesh,2004,655
Arunachal Pradesh,2004,2
Assam,2004,84
Bihar,2004,425
Chandigarh,2004,8
Chhattisgarh,2004,269
Dadra & Nagar Haveli,2004,2
Daman & Diu,2004,1
Delhi,2004,125
Goa,2004,17
Gujarat,2004,340
Haryana,2004,159
Himachal Pradesh,2004,25
Jammu & Kashmir,2004,107
Jharkhand,2004,399
Karnataka,2004,561
Kerala,2004,137
Madhya Pradesh,2004,494
Maharashtra,2004,1004
Manipur,2004,15
Meghalaya,2004,8
Mizoram,2004,4
Nagaland,2004,17
Odisha,2004,357
Puducherry,2004,3
Punjab,2004,194
Rajasthan,2004,287
Sikkim,2004,5
Tamil Nadu,2004,493
Tripura,2004,44
Uttar Pradesh,2004,1401
Uttarakhand,2004,47
West Bengal,2004,425
Andaman & Nicobar Islands,2005,4
Andhra Pradesh,2005,722
Arunachal Pradesh,2005,1
Assam,2005,65
Bihar,2005,442
Chandigarh,2005,3
Chhattisgarh,2005,323
Delhi,2005,158
Goa,2005,14
Gujarat,2005,346
Haryana,2005,143
Himachal Pradesh,2005,36
Jammu & Kashmir,2005,102
Jharkhand,2005,173
Karnataka,2005,585
