Area_Name,Year,Total_Cases_for_Trial,
Andaman & Nicobar Islands,2001,39,
Andhra Pradesh,2001,2937,
Arunachal Pradesh,2001,285,
Assam,2001,2409,
Bihar,2001,3746,
Chandigarh,2001,45,
Chhattisgarh,2001,4645,
Dadra & Nagar Haveli,2001,22,
Daman & Diu,2001,4,
Delhi,2001,1760,
Goa,2001,67,
Gujarat,2001,2131,
Haryana,2001,1022,
Himachal Pradesh,2001,494,
Jammu & Kashmir,2001,680,
Jharkhand,2001,1369,
Karnataka,2001,1335,
Kerala,2001,2336,
Lakshadweep,2001,1,
Madhya Pradesh,2001,9387,
Maharashtra,2001,10745,
Manipur,2001,40,
Meghalaya,2001,247,
Mizoram,2001,138,
Nagaland,2001,53,
Odisha,2001,2879,
Puducherry,2001,16,
Punjab,2001,488,
Rajasthan,2001,3593,
Sikkim,2001,10,
Tamil Nadu,2001,1535,
Tripura,2001,181,
Uttar Pradesh,2001,6950,
Uttarakhand,2001,223,
West Bengal,2001,5643,
Andaman & Nicobar Islands,2002,37,
Andhra Pradesh,2002,2855,
Arunachal Pradesh,2002,314,
Assam,2002,2588,
Bihar,2002,3872,
Chandigarh,2002,46,
Chhattisgarh,2002,4952,
Dadra & Nagar Haveli,2002,24,
Daman & Diu,2002,0,
Delhi,2002,2039,
Goa,2002,55,
Gujarat,2002,2192,
Haryana,2002,952,
Himachal Pradesh,2002,501,
Jammu & Kashmir,2002,726,
Jharkhand,2002,2856,
Karnataka,2002,1409,
Kerala,2002,2635,
Lakshadweep,2002,1,
Madhya Pradesh,2002,9523,
Maharashtra,2002,11164,
Manipur,2002,46,
Meghalaya,2002,253,
Mizoram,2002,138,
Nagaland,2002,62,
Odisha,2002,2987,
Puducherry,2002,19,
Punjab,2002,490,
Rajasthan,2002,3282,
Sikkim,2002,10,
Tamil Nadu,2002,1759,
Tripura,2002,224,
Uttar Pradesh,2002,6898,
Uttarakhand,2002,226,
West Bengal,2002,5923,
Andaman & Nicobar Islands,2003,35,
Andhra Pradesh,2003,2888,
Arunachal Pradesh,2003,340,
Assam,2003,2998,
Bihar,2003,3965,
Chandigarh,2003,61,
Chhattisgarh,2003,3985,
Dadra & Nagar Haveli,2003,10,
Daman & Diu,2003,3,
Delhi,2003,2057,
Goa,2003,54,
Gujarat,2003,2172,
Haryana,2003,859,
Himachal Pradesh,2003,498,
Jammu & Kashmir,2003,755,
Jharkhand,2003,2628,
Karnataka,2003,1451,
Kerala,2003,2862,
Lakshadweep,2003,1,
Madhya Pradesh,2003,9522,
Maharashtra,2003,11177,
Manipur,2003,49,
Meghalaya,2003,268,
Mizoram,2003,175,
Nagaland,2003,67,
Odisha,2003,3221,
Puducherry,2003,19,
Punjab,2003,502,
Rajasthan,2003,2885,
Sikkim,2003,10,
Tamil Nadu,2003,1786,
Tripura,2003,256,
Uttar Pradesh,2003,6122,
Uttarakhand,2003,245,
West Bengal,2003,6271,
Andaman & Nicobar Islands,2004,33,
Andhra Pradesh,2004,2875,
Arunachal Pradesh,2004,366,
Assam,2004,3314,
Bihar,2004,3980,
Chandigarh,2004,61,
Chhattisgarh,2004,4178,
Dadra & Nagar Haveli,2004,12,
Daman & Diu,2004,6,
Delhi,2004,1972,
Goa,2004,68,
Gujarat,2004,2246,
Haryana,2004,833,
Himachal Pradesh,2004,509,
Jammu & Kashmir,2004,839,
Jharkhand,2004,2446,
Karnataka,2004,1432,
Kerala,2004,3018,
Lakshadweep,2004,2,
Madhya Pradesh,2004,9569,
Maharashtra,2004,11225,
Manipur,2004,48,
Meghalaya,2004,288,
Mizoram,2004,168,
Nagaland,2004,86,
Odisha,2004,3361,
Puducherry,2004,22,
Punjab,2004,515,
Rajasthan,2004,2690,
Sikkim,2004,9,
Tamil Nadu,2004,1900,
Tripura,2004,338,
Uttar Pradesh,2004,5943,
Uttarakhand,2004,260,
West Bengal,2004,7008,
Andaman & Nicobar Islands,2005,37,
Andhra Pradesh,2005,2912,
Arunachal Pradesh,2005,393,
Assam,2005,3571,
Bihar,2005,4054,
Chandigarh,2005,68,
Chhattisgarh,2005,3905,
Dadra & Nagar Haveli,2005,13,
Daman & Diu,2005,6,
Delhi,2005,1945,
Goa,2005,68,
Gujarat,2005,2257,
Haryana,2005,893,
Himachal Pradesh,2005,525,
Jammu & Kashmir,2005,905,
Jharkhand,2005,2508,
Karnataka,2005,1362,
Kerala,2005,3147,
Lakshadweep,2005,1,
Madhya Pradesh,2005,9513,
Maharashtra,2005,11389,
Manipur,2005,53,
Meghalaya,2005,321,
Mizoram,2005,80,
Nagaland,2005,55,
Odisha,2005,3376,
Puducherry,2005,24,
Punjab,2005,544,
Rajasthan,2005,2694,
Sikkim,2005,18,
Tamil Nadu,2005,1962,
Tripura,2005,406,
Uttar Pradesh,2005,5676,
Uttarakhand,2005,308,
West Bengal,2005,7940,
Andaman & Nicobar Islands,2006,40,
Andhra Pradesh,2006,2898,
Arunachal Pradesh,2006,403,
Assam,2006,3778,
Bihar,2006,3988,
Chandigarh,2006,74,
Chhattisgarh,2006,3949,
Dadra & Nagar Haveli,2006,10,
Daman & Diu,2006,6,
Delhi,2006,1858,
Goa,2006,61,
Gujarat,2006,2363,
Haryana,2006,1065,
Himachal Pradesh,2006,474,
Jammu & Kashmir,2006,1000,
Jharkhand,2006,2567,
Karnataka,2006,1342,
Kerala,2006,3304,
Lakshadweep,2006,1,
