Area_Name,Year,Cases_Property_Stolen,Victims_Total,Total_Cases_for_Trial,Unnamed: 3
Andaman & Nicobar Islands,2001,64,6,39,
Andaman & Nicobar Islands,2001,64,6,18,
Andaman & Nicobar Islands,2001,64,6,2,
Andaman & Nicobar Islands,2001,64,6,98,
Andaman & Nicobar Islands,2001,64,6,5,
Andaman & Nicobar Islands,2001,64,6,16,
Andaman & Nicobar Islands,2001,64,6,0,
Andaman & Nicobar Islands,2001,64,6,0,5.0
Andaman & Nicobar Islands,2001,64,6,0,0.0
Andaman & Nicobar Islands,2001,64,6,0,0.0
Andaman & Nicobar Islands,2001,64,6,0,0.0
Andaman & Nicobar Islands,2001,64,6,184,
Andaman & Nicobar Islands,2001,64,7,39,
Andaman & Nicobar Islands,2001,64,7,18,
Andaman & Nicobar Islands,2001,64,7,2,
Andaman & Nicobar Islands,2001,64,7,98,
Andaman & Nicobar Islands,2001,64,7,5,
Andaman & Nicobar Islands,2001,64,7,16,
Andaman & Nicobar Islands,2001,64,7,0,
Andaman & Nicobar Islands,2001,64,7,0,5.0
Andaman & Nicobar Islands,2001,64,7,0,0.0
Andaman & Nicobar Islands,2001,64,7,0,0.0
Andaman & Nicobar Islands,2001,64,7,0,0.0
Andaman & Nicobar Islands,2001,64,7,184,
Andaman & Nicobar Islands,2001,64,13,39,
Andaman & Nicobar Islands,2001,64,13,18,
Andaman & Nicobar Islands,2001,64,13,2,
Andaman & Nicobar Islands,2001,64,13,98,
Andaman & Nicobar Islands,2001,64,13,5,
Andaman & Nicobar Islands,2001,64,13,16,
Andaman & Nicobar Islands,2001,64,13,0,
Andaman & Nicobar Islands,2001,64,13,0,5.0
Andaman & Nicobar Islands,2001,64,13,0,0.0
Andaman & Nicobar Islands,2001,64,13,0,0.0
Andaman & Nicobar Islands,2001,64,13,0,0.0
Andaman & Nicobar Islands,2001,64,13,184,
Andhra Pradesh,2001,7134,607,2937,
Andhra Pradesh,2001,7134,607,1419,
Andhra Pradesh,2001,7134,607,1497,
Andhra Pradesh,2001,7134,607,7811,
Andhra Pradesh,2001,7134,607,3272,
Andhra Pradesh,2001,7134,607,11423,
Andhra Pradesh,2001,7134,607,2,
Andhra Pradesh,2001,7134,607,0,1739.0
Andhra Pradesh,2001,7134,607,0,2.0
Andhra Pradesh,2001,7134,607,0,928.0
Andhra Pradesh,2001,7134,607,0,0.0
Andhra Pradesh,2001,7134,607,32012,
Andhra Pradesh,2001,7134,2176,2937,
Andhra Pradesh,2001,7134,2176,1419,
Andhra Pradesh,2001,7134,2176,1497,
Andhra Pradesh,2001,7134,2176,7811,
Andhra Pradesh,2001,7134,2176,3272,
Andhra Pradesh,2001,7134,2176,11423,
Andhra Pradesh,2001,7134,2176,2,
Andhra Pradesh,2001,7134,2176,0,1739.0
Andhra Pradesh,2001,7134,2176,0,2.0
Andhra Pradesh,2001,7134,2176,0,928.0
Andhra Pradesh,2001,7134,2176,0,0.0
Andhra Pradesh,2001,7134,2176,32012,
Andhra Pradesh,2001,7134,2783,2937,
Andhra Pradesh,2001,7134,2783,1419,
Andhra Pradesh,2001,7134,2783,1497,
Andhra Pradesh,2001,7134,2783,7811,
Andhra Pradesh,2001,7134,2783,3272,
Andhra Pradesh,2001,7134,2783,11423,
Andhra Pradesh,2001,7134,2783,2,
Andhra Pradesh,2001,7134,2783,0,1739.0
Andhra Pradesh,2001,7134,2783,0,2.0
Andhra Pradesh,2001,7134,2783,0,928.0
Andhra Pradesh,2001,7134,2783,0,0.0
Andhra Pradesh,2001,7134,2783,32012,
Arunachal Pradesh,2001,248,16,285,
Arunachal Pradesh,2001,248,16,242,
Arunachal Pradesh,2001,248,16,0,
Arunachal Pradesh,2001,248,16,182,
Arunachal Pradesh,2001,248,16,6,
Arunachal Pradesh,2001,248,16,23,
Arunachal Pradesh,2001,248,16,0,
Arunachal Pradesh,2001,248,16,0,1.0
Arunachal Pradesh,2001,248,16,0,0.0
Arunachal Pradesh,2001,248,16,0,0.0
Arunachal Pradesh,2001,248,16,0,0.0
Arunachal Pradesh,2001,248,16,739,
Arunachal Pradesh,2001,248,67,285,
Arunachal Pradesh,2001,248,67,242,
Arunachal Pradesh,2001,248,67,0,
Arunachal Pradesh,2001,248,67,182,
Arunachal Pradesh,2001,248,67,6,
Arunachal Pradesh,2001,248,67,23,
Arunachal Pradesh,2001,248,67,0,
Arunachal Pradesh,2001,248,67,0,1.0
Arunachal Pradesh,2001,248,67,0,0.0
Arunachal Pradesh,2001,248,67,0,0.0
Arunachal Pradesh,2001,248,67,0,0.0
Arunachal Pradesh,2001,248,67,739,
Arunachal Pradesh,2001,248,83,285,
Arunachal Pradesh,2001,248,83,242,
Arunachal Pradesh,2001,248,83,0,
Arunachal Pradesh,2001,248,83,182,
Arunachal Pradesh,2001,248,83,6,
Arunachal Pradesh,2001,248,83,23,
Arunachal Pradesh,2001,248,83,0,
Arunachal Pradesh,2001,248,83,0,1.0
Arunachal Pradesh,2001,248,83,0,0.0
Arunachal Pradesh,2001,248,83,0,0.0
Arunachal Pradesh,2001,248,83,0,0.0
Arunachal Pradesh,2001,248,83,739,
Assam,2001,2423,128,2409,
Assam,2001,2423,128,2062,
Assam,2001,2423,128,115,
Assam,2001,2423,128,1628,
Assam,2001,2423,128,44,
Assam,2001,2423,128,2225,
Assam,2001,2423,128,0,
Assam,2001,2423,128,0,24.0
Assam,2001,2423,128,0,0.0
Assam,2001,2423,128,0,1.0
Assam,2001,2423,128,0,0.0
Assam,2001,2423,128,8729,
Assam,2001,2423,1228,2409,
Assam,2001,2423,1228,2062,
Assam,2001,2423,1228,115,
Assam,2001,2423,1228,1628,
Assam,2001,2423,1228,44,
Assam,2001,2423,1228,2225,
Assam,2001,2423,1228,0,
Assam,2001,2423,1228,0,24.0
Assam,2001,2423,1228,0,0.0
Assam,2001,2423,1228,0,1.0
Assam,2001,2423,1228,0,0.0
Assam,2001,2423,1228,8729,
Assam,2001,2423,1356,2409,
Assam,2001,2423,1356,2062,
Assam,2001,2423,1356,115,
Assam,2001,2423,1356,1628,
Assam,2001,2423,1356,44,
Assam,2001,2423,1356,2225,
Assam,2001,2423,1356,0,
Assam,2001,2423,1356,0,24.0
Assam,2001,2423,1356,0,0.0
Assam,2001,2423,1356,0,1.0
Assam,2001,2423,1356,0,0.0
Assam,2001,2423,1356,8729,
Bihar,2001,3231,366,3746,
Bihar,2001,3231,366,3220,
Bihar,2001,3231,366,2726,
Bihar,2001,3231,366,1265,
Bihar,2001,3231,366,98,
Bihar,2001,3231,366,3390,
Bihar,2001,3231,366,66,
Bihar,2001,3231,366,0,82.0
Bihar,2001,3231,366,0,66.0
Bihar,2001,3231,366,0,15.0
Bihar,2001,3231,366,0,0.0
Bihar,2001,3231,366,17804,
Bihar,2001,3231,3277,3746,
Bihar,2001,3231,3277,3220,
Bihar,2001,3231,3277,2726,
Bihar,2001,3231,3277,1265,
Bihar,2001,3231,3277,98,
Bihar,2001,3231,3277,3390,
Bihar,2001,3231,3277,66,
Bihar,2001,3231,3277,0,82.0
Bihar,2001,3231,3277,0,66.0
Bihar,2001,3231,3277,0,15.0
Bihar,2001,3231,3277,0,0.0
Bihar,2001,3231,3277,17804,
Bihar,2001,3231,3643,3746,
Bihar,2001,3231,3643,3220,
Bihar,2001,3231,3643,2726,
Bihar,2001,3231,3643,1265,
Bihar,2001,3231,3643,98,
Bihar,2001,3231,3643,3390,
Bihar,2001,3231,3643,66,
Bihar,2001,3231,3643,0,82.0
Bihar,2001,3231,3643,0,66.0
Bihar,2001,3231,3643,0,15.0
Bihar,2001,3231,3643,0,0.0
Bihar,2001,3231,3643,17804,
Chandigarh,2001,364,5,45,
Chandigarh,2001,364,5,70,
Chandigarh,2001,364,5,9,
Chandigarh,2001,364,5,72,
Chandigarh,2001,364,5,30,
Chandigarh,2001,364,5,90,
Chandigarh,2001,364,5,0,
Chandigarh,2001,364,5,0,22.0
Chandigarh,2001,364,5,0,0.0
Chandigarh,2001,364,5,0,0.0
Chandigarh,2001,364,5,0,0.0
Chandigarh,2001,364,5,338,
Chandigarh,2001,364,10,45,
Chandigarh,2001,364,10,70,
Chandigarh,2001,364,10,9,
Chandigarh,2001,364,10,72,
Chandigarh,2001,364,10,30,
Chandigarh,2001,364,10,90,
Chandigarh,2001,364,10,0,
Chandigarh,2001,364,10,0,22.0
